"X","Y","ID","Building_100m","Government.and.Institutional_1000m","Residential_1000m","Pop_1000m","Roads_1000m","Tot_NOx_1000m","Ethylbenzene"
581894,5029276,104,0,941122.7803,643049.949,2694.345458,31480.81341,68060.6947,1.30656452957859
583841,5030716,103,0,469694.9268,1318346.46,540.24082,19700.09721,65100.3761,1.98552026525175
584403,5034740,102,0,0,138091.1913,1212.996444,8423.178663,3129.004704,2.36688526479361
587494,5032504,105,0,32744.95378,2042942.473,6271.487996,43178.40262,85746.02248,2.34232171589212
587539,5034402,101,0,131234.336,2775339.067,11554.02211,45095.84316,14601.64817,2.61578111687409
588421,5037001,99,2232.49167,64977.66408,2251902.896,7985.729266,37872.25952,33273.47173,2.59967448603864
589317,5034047,100,5469.279111,44.1303928,1485571.3,5641.591167,45941.49089,121395.816,2.61840343209331
589944,5031496,106,933.9193104,236575.2625,1833300.209,4209.829495,37058.46789,74362.91415,2.28779401385509
591854,5035898,95,9792.304306,0,875748.4481,4472.723161,38810.81743,141939.6319,3.57288351222733
591857,5039443,97,0,112158.4488,2645536.756,12692.78584,48843.95769,27238.48299,2.7407409104905
592609,5032047,107,1733.592058,29098.97341,1791532.157,4676.962274,35078.57381,64835.71347,2.74719132581283
593886,5037662,94,5501.276902,126803.2017,1552401.671,7877.475,40597.60353,125551.9572,2.2341565814956
594465,5039306,93,3763.456825,61506.21539,2644436.889,12823.32391,37598.92629,19742.56961,2.96628059682287
600042,5042415,63,6542.682239,591787.9239,1773054.27,18419.75163,37364.16735,24428.77951,2.85258834150427
600304,5032508,86,0,314351.6978,1456455.204,6861.380213,25505.83632,6438.472392,2.51488219570802
601401,5043522,62,768.8345819,248069.8875,2202692.876,15058.33302,51598.26903,211212.8909,2.61938897725759
601778,5041161,64,2636.505957,142950.4569,1788933.797,18985.37795,44965.75494,26970.8723,3.20398761567178
602405,5038920,65,4738.151931,53518.4681,1516846.772,9685.623476,53076.25578,178798.0265,3.64065595678926
602421,5031911,87,5546.018169,191132.7102,1119079.389,11015.78429,25758.61101,10973.39688,2.95450367035529
602714,5033431,85,2408.191154,225179.0097,1199440.662,13123.54479,38038.71316,164204.84,4.32141889453064
602810,5032672,72,4669.125683,386391.8138,1891992.079,20344.42796,46453.41875,95219.75431,3.3104767609351
602923,5043017,61,2653.091004,330513.323,2065858.273,28476.97857,55927.90999,214135.9597,2.58117033682188
603391,5043102,60,2028.162498,257318.7578,2069565.238,33290.15736,55031.73781,210510.1889,4.05524353621452
604386,5039652,55,4661.96853,38710.90873,922619.4108,7856.275539,48109.49262,326259.4138,3.27584684077853
604432,5035081,84,0,101940.8314,2418721.234,17089.45322,46382.54002,12698.23295,1.32993793293178
604438,5047465,42,0,62915.66313,1611385.486,11712.13912,34861.15218,61208.50917,1.74815030978893
604478,5036481,83,1957.601951,176581.6401,2127697.563,16085.22309,40733.9883,18944.59947,2.05388331506978
604538,5044976,59,989.7848196,190789.3555,2214015.803,19253.52613,47410.12729,43071.05764,3.59872694926932
605058,5048473,41,360.8994697,79709.20597,1798997.382,16257.48535,36060.88046,15475.73734,1.57244468094322
605165,5041810,56,2744.512966,41555.48579,1618398.125,7847.080085,53832.53664,300107.7625,3.33589396718325
605401,5030989,89,2422.442937,77504.44552,1076660.518,9173.046926,31035.96159,95316.09854,1.83875055861252
605439,5032674,88,6588.869905,39679.59969,906259.2701,7878.938149,41953.86397,193973.0338,2.97728775814946
605871,5038473,54,3285.14276,182988.7793,2234763.838,27498.45855,50321.54741,222922.0183,4.28444687178649
605890,5049824,19,444.3117391,291241.4282,1996424.019,21335.49491,47071.67392,79975.27109,1.71173134927207
605903,5050600,18,1773.221183,193490.6331,1939653.138,14552.95856,49030.97565,105328.3423,1.98293863431902
605916,5044483,58,4176.020552,351454.1343,1751278.853,22422.2286,50617.23795,237567.4164,3.43858739347176
605949,5036014,82,0,238928.1498,2544901.146,23663.41316,50409.15838,27593.33361,2.30163924170267
605952,5042968,57,9289.085506,155122.3005,1785682.623,20609.53405,61112.05666,286619.8856,3.44452731779059
606373,5047029,43,3458.81669,257245.6819,1561844.025,19107.49396,38646.2885,57398.96692,2.1742339395973
606448,5048510,20,5441.240744,122452.7282,1700504.523,21527.39034,49684.21258,44049.03274,1.86367875544201
606882,5040044,51,1494.979802,476196.6324,2046883.251,33572.88992,43102.57188,38367.84927,3.42736747444799
607350,5053455,16,4355.283217,181721.3874,808328.0423,14441.51658,22427.78463,14413.20159,1.96844724898337
607354,5045567,44,3401.07471,310541.1615,1225584.716,17905.53249,45155.80855,261461.3628,2.40460489863078
607393,5042024,48,2760.336847,184451.493,2053128.214,27882.98353,51895.74817,74456.78765,2.90666166823342
607403,5031001,90,5479.130974,343451.907,1729806.115,18636.21025,44699.01911,28110.15571,2.3400855821117
607434,5037513,53,0,586920.1106,2374322.446,28513.41922,52963.63565,215736.9998,2.25255869026171
607446,5048889,21,8432.33576,38469.69491,1441549.347,19814.97473,44329.81214,38005.74942,2.88753826183099
607579,5043481,47,8686.740901,354092.3227,2035243.716,33274.1189,51213.51932,58999.99476,5.76821396457491
607864,5051541,17,5333.379859,179660.5418,1689288.784,21094.95515,44455.16946,50782.52005,3.0418204615747
607869,5039039,52,6777.22273,1029364.743,1468841.012,24897.20352,35710.40832,43318.10224,3.70404435898069
608181,5036661,80,1986.192725,530906.5767,2350763.821,27200.27349,55310.45849,197312.9123,4.65829347415656
608206,5040690,50,5055.831266,873665.3516,1930712.049,20180.25236,38453.7833,42714.39405,3.97882520747364
608416,5048427,22,2489.555512,175539.6266,2307483.512,27901.68507,47861.6208,40127.23617,3.10852928990039
608885,5043459,46,9215.396047,223866.7573,2535820.669,34293.01192,53032.41991,81245.63101,2.97147003217685
608897,5054999,15,440.254613,15846.81068,1438943.947,9465.643686,27959.96773,14754.35921,2.43551786935608
608903,5046136,45,11624.03246,217502.0287,2325671.725,26209.54879,60827.92954,238935.2819,3.4230988537119
608908,5041964,49,11287.47005,227026.8642,2394379.941,31646.41172,51410.17927,67389.61492,2.61908303768172
608917,5031018,91,1333.257783,173421.3767,1594808.735,15294.06768,38587.07983,20379.16683,1.84907765326509
609410,5033350,92,1241.659904,263942.5497,1258000.007,13867.92905,36085.42157,29807.81013,2.05558261006458
609477,5035535,79,4844.77508,54444.97927,1291503.82,15182.06546,55320.67785,246464.6851,2.32912830901286
609834,5038096,71,2719.021427,477800.0235,2086458.757,19038.22998,51202.9067,137998.0663,2.67290081249545
609889,5052022,10,11429.72061,85574.79439,699664.3175,3554.106271,35536.59935,79186.21361,2.57754647739354
609892,5044510,34,9923.6664,165726.2135,2470055.18,33010.4243,49338.75898,93291.5166,3.36324698186843
