,ID,X,Y,ORIG_FID,Av_NOx_50m,Av_traffic_50m,Building_50m,Open Area_50m,Residential_50m,Resource and Industrial_50m,Waterbody_50m,Parks and Recreational_50m,Government and Institutional_50m,Commercial_50m,Pop_50m,Roads_50m,Tot_NOx_50m,Tot_traffic_50m,Av_NOx_100m,Av_traffic_100m,Building_100m,Open Area_100m,Residential_100m,Resource and Industrial_100m,Waterbody_100m,Parks and Recreational_100m,Government and Institutional_100m,Commercial_100m,Pop_100m,Roads_100m,Tot_NOx_100m,Tot_traffic_100m,Av_NOx_200m,Av_traffic_200m,Building_200m,Open Area_200m,Residential_200m,Resource and Industrial_200m,Waterbody_200m,Parks and Recreational_200m,Government and Institutional_200m,Commercial_200m,Pop_200m,Roads_200m,Tot_NOx_200m,Tot_traffic_200m,Av_NOx_500m,Av_traffic_500m,Building_500m,Open Area_500m,Residential_500m,Resource and Industrial_500m,Waterbody_500m,Parks and Recreational_500m,Government and Institutional_500m,Commercial_500m,Pop_500m,Roads_500m,Tot_NOx_500m,Tot_traffic_500m,Av_NOx_1000m,Av_traffic_1000m,Building_1000m,Open Area_1000m,Residential_1000m,Resource and Industrial_1000m,Waterbody_1000m,Parks and Recreational_1000m,Government and Institutional_1000m,Commercial_1000m,Pop_1000m,Roads_1000m,Tot_NOx_1000m,Tot_traffic_1000m
1,1,617016,5055277,0,3.437325814,22.7110348,NA,978.8929617,NA,NA,NA,6854.434136,NA,NA,34.98487654,192.6883579,82.49581816,545.0648226,7.691049317,52.13424714,NA,2003.772006,1969.686197,NA,NA,27401.47893,NA,NA,139.8755493,536.298184,184.5851826,1251.221907,34.1218348,419.0862579,3731.712606,7247.528131,46094.57729,2401.787691,NA,63484.15386,6352.992085,NA,607.316731,2145.098603,818.9240392,10058.07011,145.1457117,1647.933134,34003.09996,14716.2424,638631.7784,38961.2041,NA,75191.78735,17690.16088,NA,3931.649452,14091.77028,3483.4971,39550.39513,517.6536887,6652.014066,197924.4649,68643.58591,2070869.141,482221.4217,202150.1262,132125.9672,185166.7582,NA,12867.01257,45150.95258,12423.6886,159648.3383
2,2,616901,5058029,1,0.000451931,0.027399348,1601.229208,NA,7833.327098,NA,NA,NA,NA,NA,40.09897404,176.8479134,0.010846333,0.657584365,1.818226589,24.17048103,4366.418962,NA,31374.93713,NA,NA,NA,NA,NA,168.1982796,534.405255,43.63743945,580.0915395,14.92721612,215.26807,10343.92964,4.790430425,123004.7871,NA,NA,1392.994109,1178.467442,NA,628.6570523,2011.272476,358.2531828,5166.433727,235.7665452,2721.390248,53924.53919,1295.111144,693257.748,NA,NA,25100.79994,65537.51408,NA,4315.498436,12602.06814,5658.397105,65313.36604,796.055369,12448.22284,145567.719,201082.5458,2183387.957,51422.23412,394990.4502,98571.53824,211722.2753,NA,12216.03165,40040.7269,19105.32884,298757.3484
3,3,616383,5056023,2,1.872872366,33.06267334,NA,NA,7833.327098,NA,NA,NA,NA,NA,31.8608602,138.4115844,44.94893768,793.5041525,5.093109519,77.61816289,NA,NA,31374.93713,NA,NA,NA,NA,NA,126.6242197,598.8069978,122.2346295,1862.835897,20.0934334,275.7079547,NA,NA,125581.0391,NA,NA,NA,NA,NA,531.8545779,2127.379156,482.2424018,6616.990883,218.5014971,2315.564064,34150.86289,10268.39157,688859.6163,5845.060846,NA,41459.63296,38758.47151,NA,3587.795173,13563.53063,5244.036035,55573.53784,991.1158028,10010.8981,336696.2822,40899.63033,2240345.424,414961.7373,NA,131982.8855,157190.1133,155797.2094,11822.42438,46171.33661,23786.77943,240261.5541
4,4,616408,5053084,3,0.858665866,1.712212259,NA,3698.541079,NA,4134.786019,NA,NA,NA,NA,2.64457154,99.83100784,20.60798108,41.09309372,11.67121237,97.47630755,NA,10791.84992,NA,20583.08721,NA,NA,NA,NA,10.80551878,319.7867457,280.1091092,2339.431406,32.95405152,202.1600963,1608.840184,22687.46241,1116.286735,101777.2899,NA,NA,NA,NA,46.4628084,862.993419,790.89726,4851.84237,85.82723522,346.6960086,19910.13861,54892.22525,39317.26983,663972.4232,27009.25487,NA,NA,NA,291.7626674,2217.892334,2059.853677,8320.704329,202.1462262,1571.005975,207526.7374,87007.35056,159789.2903,2139200.835,737477.1105,17702.41359,NA,NA,1319.945442,10253.97291,4851.509451,37704.1434
5,5,615939,5051836,4,4.663974685,82.24589331,827.7089695,NA,7833.327098,NA,NA,NA,NA,NA,61.52636659,267.7206153,111.9353881,1973.901461,11.49001239,204.1443527,4791.536021,NA,31374.93713,NA,NA,NA,NA,NA,261.9331818,731.6530806,275.7602896,4899.464504,35.00447115,639.8542085,17762.57992,2257.478829,112270.3467,4341.874349,NA,3229.451671,3481.887501,NA,1038.140174,2938.668763,840.1073195,15356.50112,124.7262318,1911.631776,95847.20025,6040.813175,435072.4175,199335.7308,12553.17986,109812.8184,22376.21339,NA,3821.955515,11331.90266,2993.42953,45879.16262,358.920828,5063.939285,245039.4195,57477.00019,1173959.654,938900.6652,656890.3457,252685.4871,46175.49407,15088.35389,11345.52187,28620.94245,8614.099799,121534.5425
6,6,616013,5050797,5,1.913574307,18.64571445,669.2651264,NA,NA,NA,NA,6720.717482,1112.609616,NA,21.77942169,137.8846785,45.92578531,447.4971507,4.537050841,44.53529369,2903.95133,NA,121.2890488,NA,NA,24236.18747,7017.460613,NA,90.24174507,344.7222068,108.8892247,1068.847059,15.89908569,148.7820464,9806.609364,456.0897384,27640.38482,NA,NA,75778.1083,15718.67951,5987.776683,527.2882413,1772.005403,381.5780605,3570.769118,149.0229637,1994.422169,57417.85583,456.0897384,365839.6102,NA,155101.2101,208375.3673,40330.54197,15088.35389,3675.839834,9201.778738,3576.551142,47866.1317,524.1374223,7329.703873,238856.3029,9887.456018,1503684.778,13071.63989,986630.8939,463987.0589,96912.2556,67002.91816,15423.4919,34199.01413,12579.29823,175912.8927
7,7,614386,5051540,6,1.630738437,10.60879064,610.8049742,NA,2224.014402,NA,NA,4942.519545,666.7931502,NA,19.36516956,97.6571086,39.13772125,254.6109753,3.602035027,33.18849723,4078.20481,NA,12229.03878,NA,NA,13967.79576,5178.102587,NA,77.56359078,425.8684426,86.44883764,796.5239338,15.99655324,241.1612912,18418.1865,104.6403936,67475.4794,NA,NA,40627.63076,17373.28851,NA,665.8792405,2201.39888,383.9172782,5787.870992,221.4026789,3347.399251,61643.70262,9903.63479,621752.7464,NA,NA,132565.0972,20969.69482,NA,5770.284286,13507.80074,5313.664288,80337.58257,1029.290933,15892.59553,181814.6488,509016.773,2095906.325,7030.582823,NA,292191.2007,237032.1183,NA,20304.91155,47174.70409,24702.98228,381422.293
8,8,614806,5049373,7,NA,NA,NA,NA,NA,NA,NA,NA,7833.327098,NA,29.950267,NA,NA,NA,NA,NA,2443.581114,2466.626454,3112.545641,NA,NA,NA,25795.76504,NA,119.9602331,NA,NA,NA,94.75975902,754.4909575,11348.73178,40021.34303,15645.55889,NA,NA,NA,69914.13714,NA,447.785186,789.9233945,2274.234356,18107.78322,2402.935623,31424.95752,54688.64195,255774.528,275166.5678,66320.92952,NA,NA,187929.1478,NA,2550.422236,13517.98073,57670.45645,754198.9718,5963.919105,75154.84793,341219.7198,483084.8981,1554526.239,644128.5737,NA,146482.2426,296217.2186,16737.82839,11742.76656,53978.73887,143134.0595,1803716.346
9,9,613467,5049945,8,1.860990766,16.82552622,367.8261453,NA,5538.59107,NA,NA,NA,NA,2294.736028,92.65354008,220.5313629,44.66378037,403.8126449,6.064517044,76.35441353,3134.444149,NA,18985.54023,NA,NA,NA,NA,12389.3969,263.5656397,457.7045862,145.5484155,1832.505948,505.8656911,2802.510732,23052.67139,13000.4018,64115.84513,NA,NA,NA,152.1828936,48312.60924,817.8620898,2100.656068,12140.77605,67260.25768,2213.154124,19851.16586,116748.3706,88985.68808,449063.0695,NA,NA,54683.56388,71688.08374,120770.768,4123.844324,14037.23079,53115.6977,476427.9835,5529.889091,60730.66643,267148.8309,273820.1055,1546153.423,78906.58163,8403.403614,839788.4057,258035.9733,136069.1073,12922.50686,47272.98507,132717.3361,1457536.001
10,10,609889,5052022,9,13.67060862,107.2636567,3018.045955,NA,4618.35369,3214.973408,NA,NA,NA,NA,10.9116673,98.84111659,328.0945938,2574.327833,71.67667111,578.2712791,11429.72061,3795.097886,14954.67811,12625.16113,NA,NA,NA,NA,43.70465719,439.6155211,1720.240147,13878.51106,358.7643584,2691.180878,27672.82443,24829.57281,54735.42024,46016.04602,NA,NA,NA,NA,162.8599436,2140.938948,8610.344776,64588.34224,1192.808494,9599.65089,147902.2377,117269.9033,249647.9613,413839.4236,4433.884985,NA,NA,NA,820.250587,9459.00395,28627.40422,230391.6227,3299.425551,32892.52749,614067.6959,368118.8097,699664.3175,1926625.249,53924.34527,7269.484484,85574.79439,NA,3554.106271,35536.59935,79186.21361,789420.6627
