"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
617016,5055277,1,7.691049317,52.13424714,0,2003.772006,1969.686197,0,0,27401.47893,0,0,139.8755493,536.298184,184.5851826,1251.221907
616901,5058029,2,1.818226589,24.17048103,4366.418962,0,31374.93713,0,0,0,0,0,168.1982796,534.405255,43.63743945,580.0915395
616383,5056023,3,5.093109519,77.61816289,0,0,31374.93713,0,0,0,0,0,126.6242197,598.8069978,122.2346295,1862.835897
616408,5053084,4,11.67121237,97.47630755,0,10791.84992,0,20583.08721,0,0,0,0,10.80551878,319.7867457,280.1091092,2339.431406
615939,5051836,5,11.49001239,204.1443527,4791.536021,0,31374.93713,0,0,0,0,0,261.9331818,731.6530806,275.7602896,4899.464504
616013,5050797,6,4.537050841,44.53529369,2903.95133,0,121.2890488,0,0,24236.18747,7017.460613,0,90.24174507,344.7222068,108.8892247,1068.847059
614386,5051540,7,3.602035027,33.18849723,4078.20481,0,12229.03878,0,0,13967.79576,5178.102587,0,77.56359078,425.8684426,86.44883764,796.5239338
614806,5049373,8,0,0,2443.581114,2466.626454,3112.545641,0,0,0,25795.76504,0,119.9602331,0,0,0
613467,5049945,9,6.064517044,76.35441353,3134.444149,0,18985.54023,0,0,0,0,12389.3969,263.5656397,457.7045862,145.5484155,1832.505948
609889,5052022,10,71.67667111,578.2712791,11429.72061,3795.097886,14954.67811,12625.16113,0,0,0,0,43.70465719,439.6155211,1720.240147,13878.51106
611739,5050874,11,304.3591071,2379.385762,0,14797.72675,0,0,0,0,0,16577.21038,56.61257938,854.5816312,7304.618687,57105.25852
610435,5054487,12,13.02423266,118.5271185,2420.968449,0,31374.93713,0,0,0,0,0,230.2122303,635.8442199,312.5815968,2844.650833
610432,5055978,13,1.433769238,17.53566133,0,0,31374.93713,0,0,0,0,0,164.6185604,501.0980443,34.4104623,420.8558692
611121,5056351,14,2.556227712,10.55352516,34.70597096,0,31374.93713,0,0,0,0,0,182.8533716,492.8762856,61.34946815,253.2846069
608897,5054999,15,2.583043746,34.11028762,440.254613,0,21698.12009,0,9676.817043,0,0,0,70.43236714,351.8256291,61.99304959,818.6468961
607350,5053455,16,11.81373128,23.77274321,4355.283217,0,12733.57229,18641.36484,0,0,0,0,332.8462748,197.4048955,283.5295259,570.5458326
607864,5051541,17,2.14387518,42.84567537,5333.379859,0,28790.8228,0,0,2584.114328,0,0,336.5248254,486.7759924,51.45300456,1028.296185
605903,5050600,18,18.28011584,303.4542138,1773.221183,208.5718579,31166.36527,0,0,0,0,0,199.0257447,389.4623441,438.722784,7282.901304
605890,5049824,19,31.26038918,333.6585559,444.3117391,2652.66822,12251.16959,552.2309531,0,15918.86837,0,0,201.4106409,370.2457706,750.2493409,8007.805094
606448,5048510,20,19.59416758,181.07453,5441.240744,0,11825.0738,12752.43133,0,0,6797.432002,0,195.9143405,697.6600386,470.2600232,4345.788733
607446,5048889,21,25.9457668,210.9932515,8432.33576,0,13341.80599,18033.13114,0,0,0,0,129.6499972,417.205193,622.6983855,5063.838008
608416,5048427,22,21.343563,246.4844768,2489.555512,0,31374.93713,0,0,0,0,0,318.8511967,420.3032548,512.2455232,5915.627393
608903,5047013,23,13.04767232,172.1621582,11607.88315,0,30168.4112,1206.52593,0,0,0,0,156.7181973,520.643184,313.1441418,4131.891848
609895,5048005,24,19.67642363,119.661975,2702.402685,2811.24452,26979.82859,1583.864017,0,0,0,0,230.0051849,348.2085407,472.2341587,2871.887291
610447,5048850,25,11.07841536,166.7124756,4345.928003,0,2790.467499,20619.47317,0,0,7964.996467,0,314.1759035,451.6214118,265.8819566,4001.099309
611350,5046538,26,26.49253634,298.9494091,9098.988476,0,29215.32428,0,0,0,2159.612856,0,407.1724095,618.8942825,635.8208487,7174.785792
612419,5048498,27,37.80950109,689.5758846,194.0848438,1538.724784,29795.33944,0,0,0,40.87290808,0,382.3426756,857.7364199,907.428036,16549.8212
613827,5048033,28,9.289931259,126.0772654,4618.288279,0,19192.97629,0,0,12181.96084,0,0,318.9861131,462.0870674,222.9583539,3025.854381
614916,5046032,29,83.5567208,1728.72232,3042.221032,5365.651185,17151.20927,0,0,7483.292771,1374.783906,0,93.72030248,972.4871212,2005.361254,41489.33597
613888,5044500,30,8.647413244,131.466604,9556.52711,0,19191.41941,0,0,817.3756692,11366.14205,0,416.6374636,492.7914916,207.5379237,3155.198551
612886,5045388,31,46.58511687,818.6608865,6842.715856,2505.254672,28869.68246,0,0,0,0,0,422.3953462,662.195752,1118.042843,19647.86125
612509,5044008,32,50.74740004,954.682403,4653.230163,0,17411.27369,0,0,0,0,13963.66344,230.0650012,426.991687,1217.937623,22912.3774
610397,5045474,33,27.21080831,153.4203049,1413.08721,0,31374.93713,0,0,0,0,0,233.3268021,423.3189243,653.0594106,3682.087258
609892,5044510,34,21.86437502,106.9167205,9923.6664,0,30706.03856,0,0,0,668.8985714,0,353.6431311,363.2409208,524.7450071,2566.001325
610850,5043971,35,26.89123501,579.5487272,7514.614707,2225.741717,29115.03059,34.1648264,0,0,0,0,146.6692557,973.6504325,645.3896197,13909.16943
610439,5042987,36,9.575368826,135.3089843,4599.671677,0,9538.236252,0,0,18073.42299,3763.277894,0,301.0927166,339.4896671,229.8088547,3247.415609
611375,5042442,37,57.70863268,1128.02012,8338.567121,83.57928437,21724.64362,0,0,9564.355184,2.359046019,0,465.9059225,802.7482213,1385.00722,27072.48269
612808,5042073,38,38.49698319,626.4725171,9110.478188,0,19551.18843,0,0,15.43189593,11808.31681,0,308.3021969,544.2586972,923.9276099,15035.34067
612985,5040479,39,11.0905738,414.5572643,8866.596766,0,13794.62838,0,0,0,17580.30875,0,131.8155444,741.2995211,266.173773,9949.374212
611386,5040458,40,21.20201605,261.9467683,12935.15005,0,31374.93713,0,0,0,0,0,956.8432538,626.3302669,508.8483955,6286.722382
605058,5048473,41,1.078065041,16.41942759,360.8994697,0,25370.85646,0,0,6004.080674,0,0,100.1686005,349.4555785,25.87356207,394.0662722
604438,5047465,42,23.71901359,69.28911821,0,87.73026317,22573.93693,0,8713.269935,0,0,0,84.1650448,435.5571255,569.2563131,1662.938837
606373,5047029,43,7.335500568,117.6405935,3458.81669,120.7801886,14288.38762,0,0,16965.76933,0,0,189.514508,363.666323,176.0520188,2823.374274
607354,5045567,44,89.46236779,1232.862603,3401.07471,7933.862002,23441.07513,0,0,0,0,0,75.09203013,994.9325938,2147.096804,29588.70274
608903,5046136,45,10.09124695,166.5532003,11624.03246,15.82104157,14475.48663,0,0,0,16883.62946,0,261.1614705,390.4484199,242.1899237,3997.276761
608885,5043459,46,20.86927249,89.37153826,9215.396047,0,30359.75804,0,0,0,1015.179095,0,330.9712202,364.1265278,500.8625186,2144.91686
607579,5043481,47,48.32344869,602.8526038,8686.740901,2292.262305,21046.773,0,0,4020.04545,4015.856381,0,284.342939,755.9999509,1159.762778,14468.46263
607393,5042024,48,13.06943235,166.1785904,2760.336847,54.09099513,26604.92467,4715.921464,0,0,0,0,98.7930399,367.3811991,313.6663646,3988.286122
608908,5041964,49,47.85339318,401.8082595,11287.47005,0,31374.93713,0,0,0,0,0,522.6644755,523.2062588,1148.481458,9643.39838
608206,5040690,50,32.6279993,787.3767033,5055.831266,621.6438851,18282.66627,0,0,0,12470.62698,0,405.3362452,457.674264,783.0719915,18897.04081
606882,5040044,51,9.188943957,44.68981754,1494.979802,0,16389.28837,0,0,14985.64876,0,0,193.9870536,325.7876465,220.5346551,1072.555612
607869,5039039,52,19.91736857,310.9292501,6777.22273,0,15916.98973,0,0,14956.82307,501.124328,0,301.5450524,521.972566,478.0168452,7462.30215
607434,5037513,53,245.7965985,1483.656106,0,2868.139663,28506.79747,0,0,0,0,0,251.9398324,738.8971331,5899.117992,35607.74694
605871,5038473,54,242.6422048,2072.029322,3285.14276,2636.67289,27791.14688,0,0,0,947.1173641,0,261.3471476,814.0948574,5823.412718,49728.70453
604386,5039652,55,718.8810556,12528.33156,4661.96853,13567.7921,9904.705861,7902.439168,0,0,0,0,13.8911999,1127.49789,17253.1458,300679.9553
605165,5041810,56,816.7327799,6613.743712,2744.512966,8118.37554,15197.44553,5214.022967,0,2845.093094,0,0,219.3916934,1173.826536,19601.58695,158729.8495
605952,5042968,57,14.87289288,106.7169765,9289.085506,0,31106.92344,0,0,268.0136893,0,0,712.7345245,674.5828101,356.949432,2561.207447
605916,5044483,58,7.566486164,119.0125525,4176.020552,0,25067.45532,6307.481808,0,0,0,0,300.9419535,556.3138904,181.5956699,2856.301267
604538,5044976,59,9.254771975,106.48026,989.7848196,0,31374.93713,0,0,0,0,0,204.7716632,535.5153583,222.1145264,2555.52624
603391,5043102,60,17.49593644,457.0363296,2028.162498,4644.782174,3837.306239,14571.1843,0,5700.395581,2621.268839,0,489.9770281,736.1335761,419.9024621,10968.87176
602923,5043017,61,37.56117198,310.18378,2653.091004,4592.737312,26782.19982,0,0,0,0,0,402.7711844,1055.707637,901.4681425,7444.410759
601401,5043522,62,38.34000065,889.5063613,768.8345819,408.6325412,30910.97666,0,0,0,0,55.32793202,159.3175639,727.803629,920.1599905,21348.15304
600042,5042415,63,17.66841132,310.8332668,6542.682239,866.1408581,30508.79627,0,0,0,0,0,481.6779758,543.5754926,424.0418745,7459.998402
