lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
16.947,54.414,555662,,,,,,,,,,42.17527,,
16.932,54.325,555663,,,,,,,,,,50.30845,,
16.977,54.593,555660,,,,,,,,,,3.66119,,
16.962,54.504,555661,,,,,,,,,,29.45299,,
16.772,53.342,555674,,,,,,,,,,111.67731,,
16.758,53.252,555675,,,,,,,,,,86.51241,,
16.800,53.521,555672,,,,,,,,,,161.87552,,
16.786,53.431,555673,,,,,,,,,,144.02028,,
16.716,52.984,555678,,,,,,,,,,91.67731,,
16.702,52.895,555679,,,,,,,,,,110.48069,,
16.744,53.163,555676,,,,,,,,,,59.77230,,
16.730,53.074,555677,,,,,,,,,,50.64793,,
16.887,54.057,555666,,,,,,,,,,153.34024,,
16.873,53.968,555667,,,,,,,,,,223.17540,,
16.917,54.236,555664,,,,,,,,,,44.65906,,
16.902,54.146,555665,,,,,,,,,,77.57709,,
16.829,53.699,555670,,,,,,,,,,154.93430,,
16.815,53.610,555671,,,,,,,,,,152.49252,,
16.858,53.878,555668,,,,,,,,,,176.00053,,
16.843,53.789,555669,,,,,,,,,,158.21265,,
10.004,45.255,522826,,,,,56.75397,,,,,,,
10.004,45.165,522827,,,,,48.00008,,,,,,,
10.004,45.435,522824,,,,,90.35709,,,,,,,
10.004,45.345,522825,,,,,65.29599,,,,,,,
10.004,44.895,522830,,,,,67.78249,,,,,,,
10.004,44.804,522831,,,,,186.62106,,,,,,,
10.004,45.075,522828,,,,,35.84459,,,,,,,
10.004,44.985,522829,,,,,42.50358,,,,,,,
10.004,45.976,522818,,,,,1945.18457,,,,,,,
10.004,45.886,522819,,,,,818.60364,,,,,,,
10.004,46.156,522816,,,,,397.86868,,,,,,,
